repo_owner,repo_name,release_tag,component,component_path,version,last_updated_utc
openEDI,nlpdopf,v0.7.0,nlpdopf,Components/nlpdopf/pyproject.toml,v0.1.0,2026-08-28T15:26:47Z
openEDI,nlpdsse,v0.7.0,nlpdsse,Components/nlpdsse/pyproject.toml,v0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,LocalFeeder,Components/LocalFeeder/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,broker,Components/broker/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,lindistflow_federate,Components/lindistflow_federate/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,measuring_federate,Components/measuring_federate/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,omoo_federate,Components/omoo_federate/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,player,Components/player/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,recorder,Components/recorder/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,oedisi-components,v0.7.0,wls_federate,Components/wls_federate/pyproject.toml,0.1.0,2026-08-28T15:26:47Z
openEDI,ornl-dopf-pso,v0.7.0,ornl-dopf-pso,Components/ornl-dopf-pso/pyproject.toml,v0.1.1,2026-08-28T15:26:47Z
openEDI,ornl-dsse-gnwls,v0.7.0,ornl-dsse-gnwls,Components/ornl-dsse-gnwls/pyproject.toml,v0.1.1,2026-08-28T15:26:47Z
openEDI,ornl-ev-pso,v0.7.0,ornl-ev-pso,Components/ornl-ev-pso/pyproject.toml,v0.1.2,2026-08-28T15:26:47Z
openEDI,ornl-od-prony,v0.7.0,ornl-od-prony,Components/ornl-od-prony/pyproject.toml,v0.1.0,2026-08-28T15:26:47Z
openEDI,pnnl-dopf-admm,v0.7.0,pnnl-dopf-admm,Components/pnnl-dopf-admm/pyproject.toml,v0.1.0,2026-08-28T15:26:47Z
openEDI,pnnl-dsse-ekf,v0.7.0,pnnl-dsse-ekf,Components/pnnl-dsse-ekf/pyproject.toml,v0.1.1,2026-08-28T15:26:47Z
openEDI,pnnl-emt-swod,v0.7.0,pnnl-emt-swod,Components/pnnl-emt-swod/pyproject.toml,NO VERSION FOUND AT TAG,2026-08-28T15:26:47Z
openEDI,pnnl-hub-control,v0.7.0,pnnl-hub-control,Components/pnnl-hub-control/pyproject.toml,v0.1.1,2026-08-28T15:26:47Z
openEDI,pnnl-hub-power,v0.7.0,pnnl-hub-power,Components/pnnl-hub-power/pyproject.toml,v0.1.0,2026-08-28T15:26:47Z
openEDI,pnnl-hub-voltage,v0.7.0,pnnl-hub-voltage,Components/pnnl-hub-voltage/pyproject.toml,v0.1.0,2026-08-28T15:26:47Z
openEDI,pnnl-imputation-ffnn,v0.7.0,pnnl-imputation-ffnn,Components/pnnl-imputation-ffnn/pyproject.toml,NO VERSION FOUND AT TAG,2026-08-28T15:26:47Z
openEDI,pnnl-profiler-sdv,v0.7.0,pnnl-profiler-sdv,Components/pnnl-profiler-sdv/pyproject.toml,v0.1.0,2026-08-28T15:26:47Z
